time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,force_x,force_y,force_z,accel_x,accel_y,accel_z,lat,lon,alt_msl
0.220000,4393518.880671,4259900.648679,1795676.231455,-1.713547,-1.661377,12.126900,0.99138720,0.01089567,0.13050154,-0.00143405,0.09990027,-0.00101839,0.00002253,12.6678,0.0936,1.1540,0.16987804,0.00355046,0.034183,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,826.9019,-0.0053,-0.2583,67.813712,-0.208609,-9.490687,16.45748243,44.11536100,1200.0936
0.230000,4393518.863140,4259900.631682,1795676.355835,-1.792635,-1.738054,12.751833,0.99138239,0.01139048,0.13049509,-0.00149910,0.09988327,-0.00129610,0.00002998,12.6641,0.1047,1.2739,0.16881650,0.00369644,0.036028,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,816.9469,-0.0068,-0.3168,67.046608,-0.218182,-9.495130,16.45748351,44.11536100,1200.1047
0.240000,4393518.844818,4259900.613917,1795676.486518,-1.871834,-1.814838,13.384797,0.99137753,0.01188520,0.13048709,-0.00156412,0.09986499,-0.00163218,0.00003939,12.6604,0.1166,1.4000,0.16783202,0.00384205,0.037877,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,836.8285,-0.0087,-0.3849,68.635840,-0.227780,-9.500328,16.45748465,44.11536100,1200.1166
0.250000,4393518.825703,4259900.595385,1795676.623532,-1.951020,-1.891610,14.019252,0.99137267,0.01237982,0.13047723,-0.00162910,0.09984556,-0.00203557,0.00005118,12.6566,0.1291,1.5326,0.16683312,0.00398536,0.039750,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,836.8116,-0.0109,-0.4641,68.653884,-0.237407,-9.506413,16.45748585,44.11536100,1200.1291
0.260000,4393518.805797,4259900.576085,1795676.766930,-2.030283,-1.968456,14.660442,0.99136786,0.01287435,0.13046515,-0.00169403,0.09982519,-0.00251638,0.00006580,12.6529,0.1424,1.6715,0.16589749,0.00412823,0.041627,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,846.7445,-0.0136,-0.5552,69.458371,-0.247068,-9.513435,16.45748710,44.11536100,1200.1424
0.270000,4393518.785098,4259900.556016,1795676.916741,-2.109499,-2.045256,15.301816,0.99136313,0.01336878,0.13045044,-0.00175889,0.09980416,-0.00308550,0.00008378,12.6491,0.1564,1.8168,0.16495780,0.00426912,0.043523,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,846.7336,-0.0168,-0.6598,69.477298,-0.256769,-9.521542,16.45748842,44.11536100,1200.1564
0.280000,4393518.763607,4259900.535180,1795677.072967,-2.188662,-2.122004,15.943377,0.99135857,0.01386311,0.13043263,-0.00182369,0.09978280,-0.00375451,0.00010572,12.6453,0.1712,1.9687,0.16408254,0.00440986,0.045419,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,846.7077,-0.0206,-0.7786,69.495002,-0.266513,-9.530775,16.45748979,44.11536100,1200.1712
0.290000,4393518.741325,4259900.513576,1795677.235609,-2.267789,-2.198717,16.586429,0.99135423,0.01435733,0.13041120,-0.00188840,0.09976152,-0.00453593,0.00013229,12.6415,0.1868,2.1269,0.16326189,0.00455034,0.047317,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,846.6783,-0.0250,-0.9126,69.512503,-0.276308,-9.541233,16.45749122,44.11536100,1200.1868
0.300000,4393518.718250,4259900.491205,1795677.404749,-2.347092,-2.275600,17.242768,0.99135020,0.01485147,0.13038556,-0.00195301,0.09974080,-0.00544452,0.00016426,12.6376,0.2031,2.2917,0.16247480,0.00469015,0.049218,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,856.5982,-0.0302,-1.0634,70.317367,-0.286159,-9.553036,16.45749271,44.11536100,1200.2031
0.310000,4393518.694383,4259900.468065,1795677.580465,-2.426345,-2.352435,17.900588,0.99134657,0.01534551,0.13035502,-0.00201751,0.09972119,-0.00649637,0.00020253,12.6338,0.2202,2.4630,0.16160690,0.00482599,0.051158,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,866.4846,-0.0362,-1.2348,71.120028,-0.296081,-9.566494,16.45749426,44.11536100,1200.2202
0.320000,4393518.669724,4259900.444156,1795677.762761,-2.505519,-2.429192,18.558584,0.99134342,0.01583946,0.13031885,-0.00208187,0.09970336,-0.00770760,0.00024805,12.6299,0.2381,2.6409,0.16076974,0.00496103,0.053102,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,866.4558,-0.0432,-1.4263,71.138020,-0.306077,-9.581570,16.45749586,44.11536100,1200.2381
0.330000,4393518.644274,4259900.419482,1795677.951611,-2.584485,-2.505748,19.210197,0.99134087,0.01633336,0.13027621,-0.00214608,0.09968805,-0.00909487,0.00030184,12.6261,0.2568,2.8254,0.15996824,0.00509553,0.055046,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,866.3927,-0.0513,-1.6391,71.153121,-0.316154,-9.598364,16.45749753,44.11536100,1200.2568
0.340000,4393518.618034,4259900.394042,1795678.146966,-2.663360,-2.582214,19.861988,0.99133905,0.01682720,0.13022618,-0.00221011,0.09967606,-0.01067516,0.00036501,12.6222,0.2763,3.0165,0.15924872,0.00523110,0.056972,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,856.4181,-0.0604,-1.8728,70.382899,-0.326318,-9.616848,16.45749926,44.11536100,1200.2763
0.350000,4393518.591006,4259900.367837,1795678.348878,-2.742258,-2.658702,20.520498,0.99133807,0.01732101,0.13016777,-0.00227394,0.09966835,-0.01246893,0.00043888,12.6184,0.2966,3.2142,0.15854766,0.00536586,0.058899,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,866.2975,-0.0707,-2.1302,71.185436,-0.336581,-9.637263,16.45750104,44.11536100,1200.2966
0.360000,4393518.563190,4259900.340868,1795678.557376,-2.821026,-2.735064,21.177845,0.99133808,0.01781483,0.13009984,-0.00233753,0.09966593,-0.01449732,0.00052484,12.6145,0.3177,3.4184,0.15781009,0.00549798,0.060844,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,866.2165,-0.0825,-2.4152,71.198609,-0.346960,-9.659913,16.45750289,44.11536100,1200.3177
0.370000,4393518.534587,4259900.313137,1795678.772409,-2.899534,-2.811173,21.827473,0.99133925,0.01830867,0.13002121,-0.00240086,0.09966991,-0.01678034,0.00062436,12.6107,0.3396,3.6293,0.15709307,0.00562937,0.062787,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,856.2097,-0.0958,-2.7268,70.424499,-0.357460,-9.684736,16.45750480,44.11536100,1200.3396
0.380000,4393518.505200,4259900.284645,1795678.993900,-2.977803,-2.887047,22.470707,0.99134174,0.01880252,0.12993055,-0.00246388,0.09964932,-0.01933154,0.00073263,12.6069,0.3623,3.8468,0.15643621,0.00576157,0.064707,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,-0.00193925,-0.00290888,846.2160,-0.1092,-3.0653,69.650634,-0.367967,-9.711750,16.45750676,44.11536100,1200.3623
0.390000,4393518.475031,4259900.255396,1795679.221824,-3.055976,-2.962828,23.115371,0.99134573,0.01929630,0.12982648,-0.00252658,0.09963371,-0.02217863,0.00085690,12.6031,0.3858,4.0708,0.15581995,0.00589407,0.066608,0.04920923,0.05277004,-0.03689295,-0.04045376,-0.00096963,-0.00096963,-0.00193925,-0.00290888,846.1350,-0.1254,-3.4290,69.662494,-0.378707,-9.740846,16.45750879,44.11536100,1200.3858
0.400000,4393518.444081,4259900.225389,1795679.456208,-3.133995,-3.038462,23.758839,0.99135141,0.01978988,0.12970751,-0.00258883,0.09954370,-0.02533061,0.00101480,12.5993,0.4101,4.3012,0.15518389,0.00602465,0.068514,0.04920923,0.05277004,-0.03689295,-0.04045376,0.00096963,-0.00096963,-0.00193925,-0.00290888,855.9440,-0.1472,-3.8275,70.458917,-0.389883,-9.772782,16.45751087,44.11536100,1200.4101
0.410000,4393518.412352,4259900.194628,1795679.696974,-3.211733,-3.113823,24.394538,0.99135900,0.02028307,0.12957203,-0.00265051,0.09945199,-0.02882312,0.00119407,12.5955,0.4351,4.5382,0.15454087,0.00615351,0.070416,0.04920923,0.05277004,-0.03689295,-0.04045376,0.00096963,-0.00096963,-0.00193925,-0.00290888,835.9601,-0.1676,-4.2540,68.890009,-0.400954,-9.807033,16.45751301,44.11536100,1200.4351
0.420000,4393518.379847,4259900.163114,1795679.944099,-3.289222,-3.188930,25.030361,0.99136828,0.02078497,0.12942005,-0.00271268,0.10224851,-0.03178335,0.00138964,12.5918,0.4610,4.7815,0.15392649,0.00628203,0.072296,0.04920923,0.05277004,-0.03689295,-0.04045376,0.00096963,-0.00096963,-0.03878509,-0.03878509,835.8573,-0.1923,-4.8787,68.898652,-0.412532,-9.857114,16.45751521,44.11536100,1200.4610
0.430000,4393518.346569,4259900.130850,1795680.197582,-3.366427,-3.263722,25.666289,0.99137889,0.02128724,0.12925574,-0.00277439,0.10032917,-0.03392433,0.00151961,12.5881,0.4876,5.0313,0.15328129,0.00641079,0.074175,0.06398414,0.06898336,-0.05277948,-0.05777870,0.05235988,0.05720801,-0.03975472,-0.04266360,835.7466,-0.1923,-5.6858,68.906358,-0.422157,-9.921767,16.45751746,44.11536100,1200.4876
0.440000,4393518.312520,4259900.097840,1795680.457399,-3.443300,-3.338185,26.294431,0.99139089,0.02177961,0.12908030,-0.00283435,0.09822841,-0.03626461,0.00166507,12.5844,0.5149,5.2875,0.15261102,0.00653818,0.076055,0.06398414,0.06898336,-0.05277948,-0.05777870,0.05235988,0.05720801,-0.03975472,-0.04266360,835.6070,-0.2172,-6.2606,68.911412,-0.433576,-9.968042,16.45751978,44.11536100,1200.5149
0.450000,4393518.277704,4259900.064088,1795680.723445,-3.519831,-3.412308,26.914783,0.99140443,0.02226116,0.12889273,-0.00289240,0.09593798,-0.03881383,0.00182731,12.5807,0.5430,5.5501,0.15196958,0.00666248,0.077912,0.06398414,0.06898336,-0.05277948,-0.05777870,0.05235988,0.05720801,-0.03975472,-0.04266360,815.6163,-0.2442,-6.8697,67.338220,-0.444959,-10.017139,16.45752215,44.11536100,1200.5430
0.460000,4393518.242124,4259900.029595,1795680.995695,-3.596100,-3.486232,27.535222,0.99141954,0.02273405,0.12869255,-0.00294814,0.09469094,-0.04133079,0.00225255,12.5771,0.5719,5.8189,0.15135061,0.00678324,0.079747,0.06398414,0.06898336,-0.05277948,-0.05777870,0.05235988,0.05720801,-0.05623839,-0.04266360,815.4836,-0.3302,-7.5722,67.342756,-0.460877,-10.073751,16.45752458,44.11536100,1200.5719
0.470000,4393518.205783,4259899.994364,1795681.274149,-3.672107,-3.559814,28.155735,0.99143606,0.02319852,0.12848097,-0.00300147,0.09246221,-0.04339029,0.00245201,12.5734,0.6015,6.0940,0.15070498,0.00689607,0.081582,0.07464652,0.08064976,-0.06416804,-0.07017128,0.06593466,0.06884354,-0.05429913,-0.05914727,815.3199,-0.3047,-8.4185,67.344521,-0.467770,-10.141881,16.45752707,44.11536100,1200.6015
0.480000,4393518.168683,4259899.958399,1795681.558810,-3.747824,-3.633129,28.774992,0.99145397,0.02365033,0.12825902,-0.00305209,0.08952611,-0.04550008,0.00277483,12.5698,0.6319,6.3753,0.15003177,0.00700430,0.083417,0.07464652,0.08064976,-0.06416804,-0.07017128,0.07175242,0.06884354,-0.05429913,-0.05914727,815.1683,-0.3627,-9.1917,67.346915,-0.481076,-10.204289,16.45752961,44.11536100,1200.6319
0.490000,4393518.130827,4259899.921703,1795681.849650,-3.823294,-3.706188,29.394332,0.99147339,0.02408719,0.12802622,-0.00309934,0.08635419,-0.04776235,0.00312798,12.5662,0.6630,6.6629,0.14934269,0.00710507,0.085248,0.07464652,0.08064976,-0.06416804,-0.07017128,0.07175242,0.06884354,-0.05429913,-0.05914727,805.0543,-0.4013,-9.9867,66.556378,-0.492556,-10.268527,16.45753221,44.11536100,1200.6630
0.500000,4393518.092218,4259899.884277,1795682.146696,-3.898414,-3.778885,30.013724,0.99149436,0.02450645,0.12778299,-0.00314272,0.08212923,-0.04955796,0.00352042,12.5625,0.6948,6.9567,0.14862973,0.00719729,0.087079,0.07464652,0.08064976,-0.06416804,-0.07017128,0.07175242,0.06884354,-0.05429913,-0.05914727,814.8364,-0.4426,-10.8289,67.348896,-0.503920,-10.336615,16.45753486,44.11536100,1200.6948
0.510000,4393518.052860,4259899.846127,1795682.449898,-3.973063,-3.851066,30.626587,0.99151656,0.02490773,0.12753188,-0.00318219,0.07924108,-0.05106113,0.00382778,12.5589,0.7274,7.2567,0.14788929,0.00727987,0.088910,0.08201306,0.08875361,-0.07335995,-0.08010051,0.07950944,0.08047907,-0.06690429,-0.07272205,804.7018,-0.4606,-11.9711,66.555762,-0.513097,-10.428675,16.45753757,44.11536100,1200.7274
0.520000,4393518.012758,4259899.807257,1795682.759228,-4.047392,-3.922884,31.239499,0.99153991,0.02529252,0.12727349,-0.00321834,0.07543298,-0.05248620,0.00406921,12.5553,0.7607,7.5630,0.14715834,0.00735519,0.090722,0.08201306,0.08875361,-0.07335995,-0.08010051,0.08047907,0.08532721,-0.06690429,-0.07272205,804.5116,-0.4824,-12.9587,66.554077,-0.522260,-10.508522,16.45754034,44.11536100,1200.7607
0.530000,4393517.971914,4259899.767670,1795683.074688,-4.121379,-3.994346,31.852451,0.99156446,0.02565822,0.12700795,-0.00325091,0.07146140,-0.05395127,0.00435167,12.5517,0.7948,7.8754,0.14640633,0.00742285,0.092533,0.08201306,0.08875361,-0.07335995,-0.08010051,0.08047907,0.08532721,-0.06787392,-0.07272205,804.3105,-0.5335,-13.9720,66.551381,-0.533402,-10.590509,16.45754317,44.11536100,1200.7948
