t_s,servo_idx,node_id,cmd_deg,fb_deg
2.169431,1,0x02,0.0000,0.0556
2.169431,2,0x03,0.0000,0.0556
2.169431,3,0x04,0.0000,0.0556
2.170523,0,0x01,0.0000,0.0556
2.170523,1,0x02,0.0000,0.0556
2.170523,2,0x03,0.0000,0.0556
2.170523,3,0x04,0.0000,0.0556
2.177362,0,0x01,0.0000,0.0556
2.177362,1,0x02,0.0000,0.0556
2.177362,2,0x03,0.0000,0.0556
2.177362,3,0x04,0.0000,0.0556
2.178464,0,0x01,0.0000,0.0556
2.178464,1,0x02,0.0000,0.0556
2.178464,2,0x03,0.0000,0.0556
2.178464,3,0x04,0.0000,0.0556
2.179539,0,0x01,0.0000,0.0556
2.179539,1,0x02,0.0000,0.0556
2.179539,2,0x03,0.0000,0.0556
2.179539,3,0x04,0.0000,0.0556
2.180628,0,0x01,0.0000,0.0556
2.180628,1,0x02,0.0000,0.0556
2.180628,2,0x03,0.0000,0.0556
2.180628,3,0x04,0.0000,0.0556
2.188272,0,0x01,0.0000,0.0556
2.188272,1,0x02,0.0000,0.0556
2.188272,2,0x03,0.0000,0.0556
2.188272,3,0x04,0.0000,0.0556
2.189363,0,0x01,0.0000,0.0556
2.189363,1,0x02,0.0000,0.0556
2.189363,2,0x03,0.0000,0.0556
2.189363,3,0x04,0.0000,0.0556
2.190457,0,0x01,0.0000,0.0556
2.190457,1,0x02,0.0000,0.0556
2.190457,2,0x03,0.0000,0.0556
2.190457,3,0x04,0.0000,0.0556
2.197362,0,0x01,0.0000,0.0556
2.197362,1,0x02,0.0000,0.0556
2.197362,2,0x03,0.0000,0.0556
2.197362,3,0x04,0.0000,0.0556
2.198436,0,0x01,0.0000,0.0556
2.198436,1,0x02,0.0000,0.0556
2.198436,2,0x03,0.0000,0.0556
2.198436,3,0x04,0.0000,0.0556
2.199532,0,0x01,0.0000,0.0556
2.199532,1,0x02,0.0000,0.0556
2.199532,2,0x03,0.0000,0.0556
2.199532,3,0x04,0.0000,0.0556
2.200604,0,0x01,0.0000,0.0556
