cell_id,amp_deg,offset_deg,direction,repeat_idx,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
64,1.0000,-5.0000,down,1,54.1230,19.0170,15.1291,,-0.1667,30
65,1.0000,-5.0000,down,2,25.1500,13.9590,15.0032,,-0.1667,30
66,3.0000,-5.0000,up,0,88.5200,,5.7704,,0.1111,30
67,3.0000,-5.0000,up,1,33.1180,60.0280,5.3582,,0.1111,25
68,3.0000,-5.0000,up,2,92.1220,,5.3582,,0.1111,33
69,3.0000,-5.0000,down,0,39.1480,,5.7704,,-0.1111,24
70,3.0000,-5.0000,down,1,54.1240,,5.3582,,-0.1667,32
71,3.0000,-5.0000,down,2,44.1310,38.0100,5.3582,,-0.1111,29
72,5.0000,-5.0000,up,0,80.3020,,3.4098,,0.1111,29
73,5.0000,-5.0000,up,1,116.1090,,2.1737,,0.1111,27
74,5.0000,-5.0000,up,2,66.1240,,2.1737,555.1260,0.0556,26
75,5.0000,-5.0000,down,0,65.1030,,3.4098,,-0.1111,27
76,5.0000,-5.0000,down,1,41.1120,19.1050,4.3474,,-0.1667,24
77,5.0000,-5.0000,down,2,77.1120,,3.2615,,-0.1667,24
78,8.0000,-5.0000,up,0,64.1100,6.4440,1.4083,115.0980,0.0556,27
79,8.0000,-5.0000,up,1,47.1360,67.9710,0.0000,115.1070,0.0000,24
80,8.0000,-5.0000,up,2,53.0950,28.1310,0.0000,127.1190,0.0000,24
81,8.0000,-5.0000,down,0,66.1030,48.9860,-36.6198,,2.8889,26
82,8.0000,-5.0000,down,1,67.0950,70.0410,-34.2469,,2.8333,27
83,8.0000,-5.0000,down,2,77.0960,46.0100,-35.0270,,2.8889,23
84,10.0000,-5.0000,up,0,46.1110,67.9750,1.6838,159.9470,0.1111,26
85,10.0000,-5.0000,up,1,53.1250,4.7120,1.6487,128.0860,0.1111,28
86,10.0000,-5.0000,up,2,54.0930,20.0000,1.6487,145.1010,0.1111,28
87,10.0000,-5.0000,down,0,24.0930,,-49.9995,,5.0000,28
88,10.0000,-5.0000,down,1,64.0860,,-47.8019,,4.8333,26
89,10.0000,-5.0000,down,2,103.0780,,-47.8457,,4.8333,23
