t_rel_ns,kind,slot,value_deg
946171618,CMD,0,-15.0000
946171618,CMD,1,0.0000
946171618,CMD,2,0.0000
946171618,CMD,3,0.0000
952172481,CMD,0,-15.0000
952172481,CMD,1,0.0000
952172481,CMD,2,0.0000
952172481,CMD,3,0.0000
960169058,CMD,0,-15.0000
960169058,CMD,1,0.0000
960169058,CMD,2,0.0000
960169058,CMD,3,0.0000
967163985,CMD,0,-15.0000
967163985,CMD,1,0.0000
967163985,CMD,2,0.0000
967163985,CMD,3,0.0000
973155071,CMD,0,-15.0000
973155071,CMD,1,0.0000
973155071,CMD,2,0.0000
973155071,CMD,3,0.0000
979165712,CMD,0,-15.0000
979165712,CMD,1,0.0000
979165712,CMD,2,0.0000
979165712,CMD,3,0.0000
985176128,CMD,0,-15.0000
985176128,CMD,1,0.0000
985176128,CMD,2,0.0000
985176128,CMD,3,0.0000
991155513,CMD,0,-15.0000
991155513,CMD,1,0.0000
991155513,CMD,2,0.0000
991155513,CMD,3,0.0000
996192219,CMD,0,-15.0000
996192219,CMD,1,0.0000
996192219,CMD,2,0.0000
996192219,CMD,3,0.0000
1000195615,CMD,0,-15.0000
1000195615,CMD,1,0.0000
1000195615,CMD,2,0.0000
1000195615,CMD,3,0.0000
1004178401,CMD,0,-15.0000
1004178401,CMD,1,0.0000
1004178401,CMD,2,0.0000
1004178401,CMD,3,0.0000
1009189677,CMD,0,-15.0000
1009189677,CMD,1,0.0000
1009189677,CMD,2,0.0000
1009189677,CMD,3,0.0000
1015182831,CMD,0,-15.0000
1015182831,CMD,1,0.0000
1015182831,CMD,2,0.0000
1015182831,CMD,3,0.0000
1021188973,CMD,0,-15.0000
1021188973,CMD,1,0.0000
1021188973,CMD,2,0.0000
1021188973,CMD,3,0.0000
1029182448,CMD,0,-15.0000
1029182448,CMD,1,0.0000
1029182448,CMD,2,0.0000
1029182448,CMD,3,0.0000
1035169876,CMD,0,-15.0000
1035169876,CMD,1,0.0000
1035169876,CMD,2,0.0000
1035169876,CMD,3,0.0000
1041175754,CMD,0,-15.0000
1041175754,CMD,1,0.0000
1041175754,CMD,2,0.0000
1041175754,CMD,3,0.0000
1047185906,CMD,0,-15.0000
1047185906,CMD,1,0.0000
1047185906,CMD,2,0.0000
