t_wall_s,cpu_load_permille,voltage_mV,current_cA,battery_pct,drop_rate,errors_comm
48.230282,1120,65535,-1,-1,0,0
48.741234,1100,65535,-1,-1,0,0
49.237528,1180,65535,-1,-1,0,0
49.739249,1140,65535,-1,-1,0,0
50.239090,1180,65535,-1,-1,0,0
50.738206,1140,65535,-1,-1,0,0
51.230952,1320,65535,-1,-1,0,0
51.732170,1080,65535,-1,-1,0,0
52.237832,1160,65535,-1,-1,0,0
52.738192,1060,65535,-1,-1,0,0
53.236693,1100,65535,-1,-1,0,0
53.737583,1200,65535,-1,-1,0,0
54.238567,1140,65535,-1,-1,0,0
54.740782,1120,65535,-1,-1,0,0
55.236819,1180,65535,-1,-1,0,0
55.740080,1160,65535,-1,-1,0,0
56.229881,1120,65535,-1,-1,0,0
56.737972,920,65535,-1,-1,0,0
57.237654,1060,65535,-1,-1,0,0
57.738949,1060,65535,-1,-1,0,0
58.236498,1140,65535,-1,-1,0,0
58.738343,940,65535,-1,-1,0,0
59.229023,740,65535,-1,-1,0,0
59.739118,940,65535,-1,-1,0,0
60.238112,1140,65535,-1,-1,0,0
60.729840,1140,65535,-1,-1,0,0
61.230672,1120,65535,-1,-1,0,0
61.738459,1100,65535,-1,-1,0,0
62.237692,1120,65535,-1,-1,0,0
62.731868,1160,65535,-1,-1,0,0
63.236409,1200,65535,-1,-1,0,0
63.737929,1100,65535,-1,-1,0,0
64.239276,1160,65535,-1,-1,0,0
64.738505,1040,65535,-1,-1,0,0
65.236148,1180,65535,-1,-1,0,0
65.737843,1120,65535,-1,-1,0,0
66.231072,1140,65535,-1,-1,0,0
66.739573,1100,65535,-1,-1,0,0
67.237911,1040,65535,-1,-1,0,0
67.738019,1180,65535,-1,-1,0,0
68.230540,1120,65535,-1,-1,0,0
68.740263,1140,65535,-1,-1,0,0
69.237748,1180,65535,-1,-1,0,0
69.741276,1140,65535,-1,-1,0,0
70.236949,1120,65535,-1,-1,0,0
70.737048,1120,65535,-1,-1,0,0
71.240390,1120,65535,-1,-1,0,0
71.731796,1060,65535,-1,-1,0,0
72.239479,1100,65535,-1,-1,0,0
72.739130,1160,65535,-1,-1,0,0
73.231533,1100,65535,-1,-1,0,0
73.738043,1060,65535,-1,-1,0,0
74.238391,1160,65535,-1,-1,0,0
74.730520,1180,65535,-1,-1,0,0
75.233987,1000,65535,-1,-1,0,0
75.737802,760,65535,-1,-1,0,0
76.236509,1040,65535,-1,-1,0,0
76.741031,1120,65535,-1,-1,0,0
77.238450,1280,65535,-1,-1,0,0
77.740045,1120,65535,-1,-1,0,0
78.237599,1140,65535,-1,-1,0,0
78.739185,1100,65535,-1,-1,0,0
79.238619,1140,65535,-1,-1,0,0
79.740152,1160,65535,-1,-1,0,0
80.236627,1140,65535,-1,-1,0,0
80.730834,1160,65535,-1,-1,0,0
81.229045,1200,65535,-1,-1,0,0
81.737635,1040,65535,-1,-1,0,0
82.239059,920,65535,-1,-1,0,0
82.739722,940,65535,-1,-1,0,0
83.236356,780,65535,-1,-1,0,0
83.729092,620,65535,-1,-1,0,0
84.236304,640,65535,-1,-1,0,0
84.736349,620,65535,-1,-1,0,0
85.233450,600,65535,-1,-1,0,0
85.728639,620,65535,-1,-1,0,0
86.229907,600,65535,-1,-1,0,0
86.737953,620,65535,-1,-1,0,0
87.230718,1020,65535,-1,-1,0,0
87.738841,1120,65535,-1,-1,0,0
88.239489,1140,65535,-1,-1,0,0
88.739294,1140,65535,-1,-1,0,0
89.239537,1080,65535,-1,-1,0,0
89.739340,1160,65535,-1,-1,0,0
90.239401,1200,65535,-1,-1,0,0
90.739491,1080,65535,-1,-1,0,0
91.238466,1140,65535,-1,-1,0,0
91.738830,1120,65535,-1,-1,0,0
92.239653,1140,65535,-1,-1,0,0
92.737311,1140,65535,-1,-1,0,0
93.237205,1160,65535,-1,-1,0,0
93.737164,1080,65535,-1,-1,0,0
94.236814,1180,65535,-1,-1,0,0
94.733028,1120,65535,-1,-1,0,0
95.238747,1100,65535,-1,-1,0,0
95.738408,1140,65535,-1,-1,0,0
96.238981,1120,65535,-1,-1,0,0
96.738254,1080,65535,-1,-1,0,0
97.240222,1140,65535,-1,-1,0,0
97.738813,1160,65535,-1,-1,0,0
98.229483,1160,65535,-1,-1,0,0
98.740046,1140,65535,-1,-1,0,0
99.230341,1140,65535,-1,-1,0,0
99.738036,1140,65535,-1,-1,0,0
100.231952,1220,65535,-1,-1,0,0
100.739272,1100,65535,-1,-1,0,0
101.230575,1140,65535,-1,-1,0,0
101.739206,1160,65535,-1,-1,0,0
102.234005,1120,65535,-1,-1,0,0
102.739472,1100,65535,-1,-1,0,0
103.238420,1140,65535,-1,-1,0,0
103.738128,1160,65535,-1,-1,0,0
104.231721,1100,65535,-1,-1,0,0
104.741219,1160,65535,-1,-1,0,0
105.239128,1180,65535,-1,-1,0,0
105.740029,1100,65535,-1,-1,0,0
106.237089,1180,65535,-1,-1,0,0
106.738655,1100,65535,-1,-1,0,0
107.238181,1180,65535,-1,-1,0,0
107.739666,1160,65535,-1,-1,0,0
108.231615,1220,65535,-1,-1,0,0
108.731526,1120,65535,-1,-1,0,0
109.231440,1200,65535,-1,-1,0,0
109.741511,1140,65535,-1,-1,0,0
110.237411,1200,65535,-1,-1,0,0
110.740247,1100,65535,-1,-1,0,0
111.238489,1180,65535,-1,-1,0,0
111.738426,1080,65535,-1,-1,0,0
112.238625,1100,65535,-1,-1,0,0
112.740111,1080,65535,-1,-1,0,0
113.237576,1100,65535,-1,-1,0,0
113.700514,1120,65535,-1,-1,0,0
114.230971,1160,65535,-1,-1,0,0
114.711622,1140,65535,-1,-1,0,0
115.230247,1200,65535,-1,-1,0,0
115.718357,1240,65535,-1,-1,0,0
116.238120,1200,65535,-1,-1,0,0
116.720823,1140,65535,-1,-1,0,0
117.239427,1060,65535,-1,-1,0,0
117.731161,1180,65535,-1,-1,0,0
118.231150,1080,65535,-1,-1,0,0
118.730962,1180,65535,-1,-1,0,0
119.238780,1160,65535,-1,-1,0,0
119.731484,1140,65535,-1,-1,0,0
