time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,fin_can_1,fin_can_2,fin_can_3,fin_can_4,fin_source,force_x,force_y,force_z,lat,lon,alt_msl
7.430000,4393334.244368,4259728.499323,1797013.402455,-41.540252,-40.162828,210.698356,0.99997621,0.00003363,0.00688057,-0.00049334,-0.00055748,0.07167002,-0.00225505,11.1100,1336.9796,1352.7040,-0.00707569,0.00136069,0.637993,-0.00324042,-0.00135585,0.00324126,0.00135669,-0.00324042,-0.00135585,0.00324126,0.00135669,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.5746,-5.0798,39.0575,16.46969550,44.11540718,1336.9796
7.440000,4393333.828650,4259728.097358,1797015.508758,-41.602712,-40.229505,210.562553,0.99997355,0.00003064,0.00725553,-0.00050576,-0.00053580,0.07726334,-0.00276029,11.1100,1337.0235,1354.8884,-0.00582065,0.00136062,0.637681,-0.00324042,-0.00135585,0.00324126,0.00135669,-0.00324042,-0.00135585,0.00324126,0.00135669,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.4377,-5.0773,32.9197,16.46971523,44.11540719,1337.0235
7.450000,4393333.412327,4259727.694746,1797017.613712,-41.661192,-40.292361,210.428440,0.99997066,0.00002775,0.00764264,-0.00052060,-0.00051554,0.07655940,-0.00322032,11.1100,1337.0661,1357.0717,-0.00450321,0.00136568,0.637369,-0.00324042,-0.00135585,0.00324126,0.00135669,-0.00324042,-0.00135585,0.00324126,0.00135669,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.3013,-5.0998,26.4541,16.46973496,44.11540720,1337.0661
7.460000,4393332.995439,4259727.291523,1797019.717333,-41.715762,-40.351491,210.295975,0.99996777,0.00002493,0.00801106,-0.00053759,-0.00049660,0.06985289,-0.00361570,11.1100,1337.1075,1359.2540,-0.00318733,0.00137542,0.637059,-0.00324042,-0.00135585,0.00324126,0.00135669,-0.00324042,-0.00135585,0.00324126,0.00135669,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.1653,-5.1450,19.9747,16.46975468,44.11540721,1337.1075
7.470000,4393332.578024,4259726.887727,1797021.819637,-41.766672,-40.407156,210.165048,0.99996513,0.00002216,0.00833205,-0.00055637,-0.00047888,0.05770522,-0.00393083,11.1100,1337.1477,1361.4353,-0.00193420,0.00138921,0.636748,-0.00035070,0.00144811,0.00035066,-0.00144815,-0.00324042,-0.00135585,0.00324126,0.00135669,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-116.0297,-5.2094,13.7825,16.46977440,44.11540721,1337.1477
7.480000,4393332.160132,4259726.483405,1797023.920644,-41.811233,-40.456852,210.036669,0.99996257,0.00001950,0.00863319,-0.00057571,-0.00044728,0.06191622,-0.00384391,11.1100,1337.1868,1363.6155,-0.00079956,0.00140625,0.636439,-0.00035070,0.00144811,0.00035066,-0.00144815,-0.00035070,0.00144811,0.00035066,-0.00144815,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.8944,-5.3622,3.3045,16.46979410,44.11540722,1337.1868
7.490000,4393331.741810,4259726.078600,1797026.020374,-41.852614,-40.503554,209.909625,0.99995984,0.00001701,0.00894284,-0.00059443,-0.00041774,0.06113388,-0.00368083,11.1100,1337.2248,1365.7947,0.00025419,0.00142379,0.636130,-0.00035070,0.00144811,0.00035066,-0.00144815,-0.00035070,0.00144811,0.00035066,-0.00144815,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.7595,-5.4417,-1.8172,16.46981379,44.11540723,1337.2248
7.500000,4393331.323090,4259725.673344,1797028.118841,-41.890894,-40.547327,209.783880,0.99995715,0.00001465,0.00923656,-0.00061216,-0.00039012,0.05560155,-0.00345225,11.1100,1337.2619,1367.9729,0.00130446,0.00143974,0.635821,-0.00035070,0.00144811,0.00035066,-0.00144815,-0.00035070,0.00144811,0.00035066,-0.00144815,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.6249,-5.5129,-6.9392,16.46983347,44.11540723,1337.2619
7.510000,4393330.904002,4259725.267663,1797030.216056,-41.926293,-40.588367,209.659349,0.99995476,0.00001242,0.00949164,-0.00062862,-0.00036427,0.04577082,-0.00317136,11.1100,1337.2980,1370.1500,0.00230280,0.00145344,0.635513,-0.00035070,0.00144811,0.00035066,-0.00144815,-0.00035070,0.00144811,0.00035066,-0.00144815,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.4906,-5.5726,-11.8240,16.46985315,44.11540724,1337.2980
7.520000,4393330.484573,4259724.861584,1797032.312031,-41.959154,-40.626990,209.535900,0.99995286,0.00001029,0.00968811,-0.00064357,-0.00034009,0.03227199,-0.00285322,11.1100,1337.3332,1372.3260,0.00320521,0.00146435,0.635205,0.00269211,0.00447509,-0.00269292,-0.00447591,-0.00035070,0.00144811,0.00035066,-0.00144815,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.3565,-5.6183,-16.2556,16.46987281,44.11540724,1337.3332
7.530000,4393330.064842,4259724.455145,1797034.406783,-41.986682,-40.660481,209.414601,0.99995112,0.00000831,0.00986545,-0.00065673,-0.00030428,0.03810791,-0.00245702,11.1100,1337.3676,1374.5010,0.00397390,0.00147209,0.634898,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.2228,-5.6616,-25.1771,16.46989246,44.11540724,1337.3676
7.540000,4393329.644846,4259724.048382,1797036.500326,-42.012143,-40.691966,209.294206,0.99994914,0.00000655,0.01006348,-0.00066790,-0.00027081,0.04054047,-0.00205998,11.1100,1337.4012,1376.6750,0.00466925,0.00147608,0.634591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-115.0893,-5.6729,-28.4872,16.46991211,44.11540725,1337.4012
7.550000,4393329.224606,4259723.641313,1797038.592670,-42.035508,-40.721394,209.174728,0.99994708,0.00000496,0.01026519,-0.00067713,-0.00023950,0.03959739,-0.00168025,11.1100,1337.4341,1378.8479,0.00539243,0.00147608,0.634284,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.9561,-5.6647,-31.9442,16.46993174,44.11540725,1337.4341
7.560000,4393328.804143,4259723.233960,1797040.683824,-42.056851,-40.748814,209.056140,0.99994512,0.00000354,0.01045409,-0.00068454,-0.00021024,0.03545988,-0.00133442,11.1100,1337.4662,1381.0198,0.00610913,0.00147223,0.633978,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.8231,-5.6381,-35.3812,16.46995137,44.11540725,1337.4662
7.570000,4393328.383475,4259722.826343,1797042.773796,-42.076333,-40.774366,208.938383,0.99994342,0.00000225,0.01061496,-0.00069033,-0.00018287,0.02844758,-0.00103684,11.1100,1337.4977,1383.1907,0.00678676,0.00146487,0.633672,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.6903,-5.5947,-38.6396,16.46997099,44.11540726,1337.4977
