t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
19.245606,16967141,780.1296,0.0000,41.70
19.340608,16967259,780.1354,0.0000,41.70
19.444150,16967341,780.1318,0.0000,41.70
19.544020,16967459,780.1440,0.0000,41.70
19.644096,16967539,780.1432,0.0000,41.70
19.740737,16967660,780.1374,0.0000,41.70
19.844212,16967741,780.1404,0.0000,41.70
19.943830,16967858,780.1391,0.0000,41.70
20.042370,16967939,780.1243,0.0000,41.70
20.144771,16968059,780.1254,0.0000,41.70
20.244724,16968142,780.1270,0.0000,41.70
20.343545,16968259,780.1272,0.0000,41.70
20.444248,16968340,780.1343,0.0000,41.70
20.544835,16968460,780.1391,0.0000,41.70
20.643929,16968539,780.1331,0.0000,41.70
20.740352,16968658,780.1391,0.0000,41.30
20.843645,16968738,780.1311,0.0000,41.30
20.944712,16968857,780.1313,0.0000,41.30
21.045001,16968940,780.1315,0.0000,41.30
21.144673,16969060,780.1301,0.0000,41.30
21.244799,16969141,780.1218,0.0000,41.30
21.343441,16969258,780.1245,0.0000,41.30
21.441368,16969340,780.1201,0.0000,41.30
21.544858,16969458,780.1235,0.0000,41.30
21.644688,16969539,780.1350,0.0000,41.30
21.744977,16969658,780.1328,0.0000,41.30
21.843638,16969739,780.1331,0.0000,41.30
21.944031,16969858,780.1259,0.0000,41.30
22.040161,16969940,780.1274,0.0000,41.30
22.144497,16970060,780.1259,0.0000,41.30
22.243918,16970138,780.1337,0.0000,41.30
22.341143,16970259,780.1243,0.0000,41.30
22.443818,16970338,780.1337,0.0000,41.30
22.544440,16970459,780.1379,0.0000,41.30
22.643799,16970539,780.1348,0.0000,41.30
22.744233,16970661,780.1360,0.0000,41.30
22.844899,16970739,780.1323,0.0000,41.30
22.944605,16970861,780.1262,0.0000,41.30
23.043861,16970939,780.1211,0.0000,41.30
23.140672,16971061,780.1196,0.0000,41.30
23.243814,16971138,780.1137,0.0000,41.30
23.305135,16971260,780.1292,0.0000,41.30
23.439976,16971337,780.1365,0.0000,41.30
23.539135,16971460,780.1306,0.0000,41.30
23.644849,16971538,780.1187,0.0000,41.30
23.744953,16971659,780.1257,0.0000,41.30
23.844392,16971741,780.1189,0.0000,41.30
23.945055,16971858,780.1184,0.0000,41.30
24.044414,16971939,780.1337,0.0000,41.30
24.144066,16972058,780.1172,0.0000,41.30
24.244637,16972138,780.1298,0.0000,41.30
24.306734,16972260,780.1243,0.0000,41.30
24.444303,16972339,780.1248,0.0000,41.30
24.544188,16972459,780.1326,0.0000,41.30
24.644216,16972541,780.1198,0.0000,41.30
24.743701,16972660,780.1279,0.0000,41.30
24.844667,16972740,780.1194,0.0000,41.30
24.944957,16972859,780.1213,0.0000,41.30
25.044201,16972939,780.1191,0.0000,41.30
25.146982,16973061,780.1201,0.0000,41.30
25.241585,16973139,780.1237,0.0000,41.30
25.306363,16973260,780.1091,0.0000,41.30
25.444288,16973340,780.1106,0.0000,41.30
25.545002,16973458,780.1174,0.0000,41.30
25.643804,16973541,780.1152,0.0000,41.30
25.743326,16973659,780.1189,0.0000,41.30
25.841549,16973740,780.1218,0.0000,41.30
25.939275,16973858,780.1352,0.0000,41.30
26.039423,16973939,780.1298,0.0000,41.30
26.143247,16974059,780.1267,0.0000,41.30
26.243891,16974139,780.1243,0.0000,41.30
26.307765,16974260,780.1198,0.0000,41.30
26.444071,16974338,780.1237,0.0000,41.30
26.543549,16974458,780.1213,0.0000,41.30
26.645008,16974539,780.1228,0.0000,41.30
26.744395,16974659,780.1292,0.0000,41.30
26.843517,16974742,780.1293,0.0000,41.30
26.944762,16974860,780.1332,0.0000,41.30
27.043827,16974939,780.1304,0.0000,41.30
27.143644,16975061,780.1118,0.0000,41.30
27.244742,16975140,780.1218,0.0000,41.30
27.310150,16975260,780.1282,0.0000,41.30
27.443835,16975338,780.1313,0.0000,41.30
27.544282,16975462,780.1252,0.0000,41.30
27.644572,16975538,780.1365,0.0000,41.30
27.743344,16975659,780.1304,0.0000,41.30
27.844889,16975741,780.1315,0.0000,41.30
27.944708,16975860,780.1215,0.0000,41.30
28.045694,16975940,780.1204,0.0000,41.30
28.144971,16976058,780.1272,0.0000,41.30
28.243245,16976138,780.1270,0.0000,41.30
28.313435,16976259,780.1218,0.0000,41.30
28.445008,16976342,780.1208,0.0000,41.30
28.546718,16976461,780.1206,0.0000,41.30
28.644113,16976538,780.1240,0.0000,41.30
28.739360,16976661,780.1284,0.0000,41.30
28.843689,16976739,780.1293,0.0000,41.30
28.943486,16976858,780.1262,0.0000,41.30
29.044746,16976939,780.1208,0.0000,41.30
29.139249,16977058,780.1204,0.0000,41.30
29.244500,16977139,780.1145,0.0000,41.30
29.313037,16977260,780.1262,0.0000,41.30
29.443182,16977340,780.1240,0.0000,41.30
29.543282,16977460,780.1176,0.0000,41.30
29.644781,16977540,780.1213,0.0000,41.30
29.743798,16977659,780.1250,0.0000,41.30
29.841057,16977741,780.1272,0.0000,41.30
29.944121,16977860,780.1116,0.0000,41.30
30.043681,16977940,780.1159,0.0000,41.30
30.143569,16978060,780.1257,0.0000,41.30
30.244467,16978138,780.1245,0.0000,41.30
30.317641,16978260,780.1343,0.0000,41.30
30.443729,16978338,780.1284,0.0000,41.30
30.539435,16978460,780.1108,0.0000,41.30
30.644269,16978539,780.1287,0.0000,41.30
30.744598,16978659,780.1213,0.0000,41.30
30.844093,16978739,780.1267,0.0000,41.30
30.943065,16978860,780.1311,0.0000,41.30
31.044236,16978939,780.1321,0.0000,41.30
31.144536,16979058,780.1328,0.0000,41.30
31.242533,16979139,780.1274,0.0000,41.30
31.317065,16979261,780.1340,0.0000,41.30
31.443586,16979341,780.1259,0.0000,41.30
31.543060,16979460,780.1215,0.0000,41.30
31.643751,16979540,780.1309,0.0000,41.30
31.740767,16979659,780.1152,0.0000,41.30
31.844303,16979739,780.1165,0.0000,41.30
31.944874,16979861,780.1142,0.0000,41.30
32.044730,16979939,780.1191,0.0000,41.30
32.144221,16980060,780.1220,0.0000,41.30
32.244022,16980140,780.1147,0.0000,41.30
32.324774,16980259,780.1226,0.0000,41.30
32.440034,16980341,780.1252,0.0000,41.30
32.544336,16980458,780.1215,0.0000,41.30
32.638998,16980540,780.1265,0.0000,41.30
32.743015,16980658,780.1218,0.0000,41.30
32.839101,16980739,780.1187,0.0000,41.30
32.943591,16980861,780.1292,0.0000,41.30
33.044262,16980938,780.1367,0.0000,41.30
33.144033,16981060,780.1189,0.0000,41.30
33.244175,16981138,780.1172,0.0000,41.30
33.324296,16981259,780.1077,0.0000,41.30
33.444004,16981340,780.1157,0.0000,41.30
33.543169,16981459,780.1265,0.0000,41.30
33.643419,16981541,780.1335,0.0000,41.30
33.744332,16981659,780.1257,0.0000,41.30
33.842973,16981739,780.1189,0.0000,41.30
33.944685,16981860,780.1189,0.0000,41.30
34.044685,16981939,780.1220,0.0000,41.30
34.142754,16982061,780.1233,0.0000,41.30
34.245339,16982141,780.1189,0.0000,41.30
34.325096,16982258,780.1223,0.0000,41.30
34.444666,16982339,780.1206,0.0000,41.30
34.545069,16982460,780.1155,0.0000,41.30
34.644392,16982539,780.1184,0.0000,41.30
34.743620,16982659,780.1123,0.0000,41.30
34.843803,16982738,780.1159,0.0000,41.30
34.938853,16982860,780.1086,0.0000,41.30
35.044687,16982939,780.1111,0.0000,41.30
35.144352,16983058,780.1248,0.0000,41.30
35.241900,16983139,780.1176,0.0000,41.30
35.327851,16983259,780.1106,0.0000,41.30
35.443370,16983338,780.1128,0.0000,41.30
35.543755,16983462,780.1215,0.0000,41.30
35.644366,16983540,780.1204,0.0000,41.30
35.744065,16983658,780.1254,0.0000,41.30
35.839474,16983740,780.1257,0.0000,41.30
35.944712,16983860,780.1306,0.0000,41.30
36.043577,16983942,780.1184,0.0000,41.30
36.143191,16984058,780.1184,0.0000,41.30
36.244541,16984139,780.1215,0.0000,41.30
36.328382,16984259,780.1169,0.0000,41.30
36.443819,16984339,780.1137,0.0000,41.30
36.542364,16984458,780.1279,0.0000,41.30
36.644191,16984542,780.1204,0.0000,41.30
36.745850,16984659,780.1233,0.0000,41.30
36.839263,16984740,780.1201,0.0000,41.00
36.942789,16984858,780.1133,0.0000,41.00
37.043734,16984938,780.1081,0.0000,41.00
37.144122,16985059,780.1100,0.0000,41.00
37.245547,16985138,780.1103,0.0000,41.00
37.333311,16985260,780.1155,0.0000,41.00
37.445601,16985340,780.1237,0.0000,41.00
37.544036,16985460,780.1116,0.0000,41.00
37.644187,16985540,780.1074,0.0000,41.00
37.744110,16985662,780.1191,0.0000,41.00
37.843759,16985739,780.1215,0.0000,41.00
37.944646,16985858,780.1108,0.0000,41.00
38.042736,16985939,780.1196,0.0000,41.00
38.144465,16986059,780.1194,0.0000,41.00
38.243941,16986139,780.1252,0.0000,41.00
38.332713,16986260,780.1254,0.0000,41.00
38.444551,16986340,780.1279,0.0000,41.00
38.543697,16986459,780.1265,0.0000,41.00
38.645493,16986540,780.1206,0.0000,41.00
38.743720,16986659,780.1152,0.0000,41.00
38.845537,16986742,780.1215,0.0000,41.00
38.943998,16986858,780.1211,0.0000,41.00
39.043899,16986938,780.1223,0.0000,41.00
39.144615,16987058,780.1165,0.0000,41.00
39.243083,16987138,780.1179,0.0000,41.00
39.338900,16987259,780.1147,0.0000,41.00
39.442812,16987339,780.1108,0.0000,41.00
39.539141,16987458,780.1111,0.0000,41.00
39.642940,16987539,780.1196,0.0000,41.00
39.743692,16987658,780.1198,0.0000,41.00
39.845813,16987738,780.1257,0.0000,41.00
39.934700,16987858,780.1340,0.0000,41.00
40.044352,16987940,780.1259,0.0000,41.00
40.143144,16988060,780.1184,0.0000,41.00
40.243252,16988138,780.1245,0.0000,41.00
40.344263,16988258,780.1248,0.0000,41.00
40.444548,16988338,780.1198,0.0000,41.00
40.538282,16988461,780.1223,0.0000,41.00
40.643633,16988538,780.1208,0.0000,41.00
40.744229,16988661,780.1313,0.0000,41.00
40.843488,16988741,780.1287,0.0000,41.70
40.943136,16988860,780.1276,0.0000,41.70
41.043732,16988938,780.1343,0.0000,41.70
41.143932,16989059,780.1257,0.0000,41.70
41.243653,16989138,780.1230,0.0000,41.70
41.344239,16989260,780.1165,0.0000,41.70
41.444920,16989338,780.1208,0.0000,41.70
41.543453,16989458,780.1254,0.0000,41.70
41.646221,16989540,780.1276,0.0000,41.70
41.744314,16989660,780.1382,0.0000,41.70
41.843480,16989739,780.1254,0.0000,41.70
41.943835,16989860,780.1172,0.0000,41.70
42.044013,16989939,780.1198,0.0000,41.70
42.145341,16990059,780.1194,0.0000,41.70
42.243486,16990139,780.1150,0.0000,41.70
42.343770,16990257,780.1145,0.0000,41.70
42.444056,16990341,780.1201,0.0000,41.70
42.543248,16990458,780.1250,0.0000,41.70
42.643048,16990540,780.1282,0.0000,41.70
42.742693,16990660,780.1162,0.0000,41.70
42.844424,16990739,780.1094,0.0000,41.30
42.943434,16990860,780.1133,0.0000,41.30
43.043251,16990938,780.1157,0.0000,41.30
43.143433,16991059,780.1050,0.0000,41.30
43.244301,16991140,780.1106,0.0000,41.30
43.344363,16991258,780.1089,0.0000,41.30
43.438977,16991340,780.1133,0.0000,41.30
43.543019,16991460,780.1165,0.0000,41.30
43.643770,16991539,780.1198,0.0000,41.30
43.743984,16991659,780.1165,0.0000,41.30
43.843770,16991741,780.1150,0.0000,41.30
43.944182,16991862,780.1155,0.0000,41.30
44.043291,16991939,780.1174,0.0000,41.30
44.143183,16992058,780.1055,0.0000,41.30
44.243935,16992140,780.1008,0.0000,41.30
44.344175,16992258,780.1111,0.0000,41.30
44.444634,16992339,780.1206,0.0000,41.30
44.543489,16992459,780.1155,0.0000,41.30
44.643890,16992538,780.1265,0.0000,41.30
44.742890,16992657,780.1191,0.0000,41.30
44.844418,16992738,780.1069,0.0000,41.30
44.940815,16992862,780.1042,0.0000,41.30
45.043867,16992941,780.1047,0.0000,41.30
45.143677,16993058,780.1059,0.0000,41.30
45.244114,16993140,780.1039,0.0000,41.30
45.343457,16993258,780.1000,0.0000,41.30
45.442637,16993338,780.1038,0.0000,41.30
45.542048,16993458,780.1069,0.0000,41.30
45.644088,16993538,780.1120,0.0000,41.30
45.743900,16993659,780.1167,0.0000,41.30
45.843504,16993740,780.1159,0.0000,41.30
