t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
21.554402,9803043,778.8813,0.0000,42.30
21.653648,9803163,778.8921,0.0000,42.30
21.755267,9803244,778.8926,0.0000,42.30
21.848204,9803326,778.8909,0.0000,42.30
21.947189,9803442,778.8874,0.0000,42.30
22.054680,9803565,778.8952,0.0000,42.30
22.153460,9803642,778.8899,0.0000,42.00
22.254375,9803762,778.8770,0.0000,42.00
22.317708,9803843,778.8743,0.0000,42.00
22.453775,9803963,778.8809,0.0000,42.00
22.554753,9804044,778.8904,0.0000,42.00
22.654421,9804163,778.8913,0.0000,42.00
22.754281,9804243,778.8972,0.0000,42.00
22.853655,9804363,778.8938,0.0000,42.00
22.954620,9804444,778.8948,0.0000,42.00
23.046310,9804562,778.8943,0.0000,42.00
23.153596,9804643,778.8860,0.0000,42.00
23.254574,9804763,778.8967,0.0000,42.00
23.320285,9804843,778.8977,0.0000,42.00
23.454832,9804963,778.8950,0.0000,42.00
23.553936,9805045,778.9004,0.0000,42.00
23.655687,9805164,778.8906,0.0000,42.00
23.754283,9805242,778.9038,0.0000,42.00
23.847037,9805363,778.9047,0.0000,42.00
23.952969,9805443,778.9026,0.0000,42.00
24.054639,9805563,778.8979,0.0000,42.00
24.154558,9805643,778.9114,0.0000,42.00
24.255457,9805763,778.9131,0.0000,42.00
24.325054,9805842,778.9203,0.0000,42.00
24.453629,9805963,778.9102,0.0000,42.00
24.555177,9806042,778.9133,0.0000,42.00
24.653106,9806164,778.9067,0.0000,42.00
24.754037,9806244,778.9092,0.0000,42.00
24.855492,9806364,778.9030,0.0000,42.00
24.954076,9806442,778.9062,0.0000,42.00
25.054143,9806565,778.8989,0.0000,42.00
25.153487,9806644,778.9055,0.0000,42.00
25.255059,9806763,778.9150,0.0000,42.00
25.329429,9806842,778.9125,0.0000,42.00
25.453637,9806963,778.9062,0.0000,42.00
25.553875,9807043,778.9089,0.0000,42.00
25.644926,9807163,778.9119,0.0000,42.00
25.753425,9807246,778.9086,0.0000,42.00
25.853895,9807364,778.9041,0.0000,42.00
25.954233,9807445,778.9023,0.0000,42.00
26.052665,9807565,778.9047,0.0000,42.00
26.153195,9807643,778.9194,0.0000,41.70
26.255011,9807763,778.9167,0.0000,41.70
26.329736,9807845,778.8997,0.0000,41.70
26.453893,9807964,778.8967,0.0000,41.70
26.552831,9808042,778.8952,0.0000,41.70
26.653746,9808164,778.8989,0.0000,41.70
26.752932,9808244,778.9058,0.0000,41.70
26.855066,9808364,778.8938,0.0000,41.70
26.954117,9808444,778.9053,0.0000,41.70
27.052409,9808562,778.9150,0.0000,41.70
27.152524,9808644,778.9023,0.0000,41.70
27.255435,9808764,778.8950,0.0000,41.70
27.330983,9808842,778.9001,0.0000,41.70
27.454575,9808964,778.9006,0.0000,41.70
27.554387,9809043,778.8987,0.0000,41.70
27.654486,9809164,778.8954,0.0000,41.70
27.752998,9809244,778.8936,0.0000,41.70
27.854850,9809364,778.8882,0.0000,41.70
27.954320,9809442,778.8871,0.0000,41.70
28.053626,9809564,778.8926,0.0000,41.70
28.154713,9809642,778.9023,0.0000,42.00
28.256293,9809762,778.8994,0.0000,42.00
28.331380,9809843,778.8991,0.0000,42.00
28.453116,9809963,778.8954,0.0000,42.00
28.552972,9810042,778.8837,0.0000,42.00
28.654027,9810165,778.8865,0.0000,42.00
28.754949,9810245,778.8821,0.0000,42.00
28.854892,9810363,778.8899,0.0000,42.00
28.954724,9810446,778.8831,0.0000,42.00
29.054988,9810564,778.8887,0.0000,42.00
29.154135,9810643,778.8801,0.0000,42.00
29.254956,9810764,778.8740,0.0000,42.00
29.332320,9810844,778.8754,0.0000,42.00
29.453595,9810964,778.8776,0.0000,42.00
29.554242,9811043,778.8826,0.0000,42.00
29.654146,9811164,778.8904,0.0000,42.00
29.753463,9811244,778.8845,0.0000,42.00
29.855209,9811365,778.8787,0.0000,42.00
29.953177,9811443,778.8787,0.0000,42.00
30.049225,9811522,778.8848,0.0000,42.00
30.153722,9811646,778.8813,0.0000,41.30
30.254592,9811763,778.8748,0.0000,41.30
30.334975,9811843,778.8813,0.0000,41.30
30.454460,9811963,778.8832,0.0000,41.30
30.556257,9812044,778.8871,0.0000,41.30
30.654619,9812165,778.8832,0.0000,41.30
30.754435,9812242,778.8906,0.0000,41.30
30.854964,9812363,778.8854,0.0000,41.30
30.952631,9812443,778.8821,0.0000,41.30
31.055109,9812568,778.8840,0.0000,41.30
31.154951,9812642,778.8793,0.0000,41.30
31.255525,9812763,778.8994,0.0000,41.30
31.339674,9812843,778.9011,0.0000,41.30
31.447642,9812963,778.8965,0.0000,41.30
31.553204,9813043,778.8952,0.0000,41.30
31.647301,9813164,778.8884,0.0000,41.30
31.754598,9813243,778.8871,0.0000,41.30
31.855027,9813363,778.8954,0.0000,41.30
31.953328,9813443,778.8997,0.0000,41.30
32.056767,9813565,778.8789,0.0000,41.30
32.153036,9813643,778.8823,0.0000,41.30
32.246594,9813765,778.8837,0.0000,41.30
32.354403,9813844,778.8845,0.0000,41.30
32.456711,9813964,778.9086,0.0000,41.30
32.554431,9814041,778.9011,0.0000,41.30
32.653621,9814163,778.9016,0.0000,41.30
32.754337,9814243,778.9047,0.0000,41.30
32.856017,9814365,778.8982,0.0000,41.30
32.955885,9814444,778.8889,0.0000,41.30
33.055444,9814563,778.9092,0.0000,41.30
33.154354,9814646,778.9058,0.0000,41.30
33.254760,9814722,778.9067,0.0000,41.30
33.345176,9814843,778.9167,0.0000,41.30
33.455096,9814964,778.9175,0.0000,41.30
33.553468,9815043,778.9102,0.0000,41.30
33.654941,9815164,778.9167,0.0000,41.30
33.756075,9815245,778.9102,0.0000,41.30
33.854156,9815364,778.9128,0.0000,41.30
33.956299,9815442,778.9125,0.0000,41.30
34.055944,9815562,778.9067,0.0000,41.30
34.154351,9815643,778.9077,0.0000,41.30
34.254769,9815762,778.9102,0.0000,41.30
34.353208,9815843,778.9006,0.0000,41.30
34.454950,9815963,778.9045,0.0000,41.30
34.555794,9816042,778.9047,0.0000,41.30
34.654418,9816164,778.9014,0.0000,41.30
34.751150,9816244,778.8987,0.0000,41.30
34.855774,9816365,778.9030,0.0000,41.30
34.956061,9816442,778.9065,0.0000,41.30
35.054583,9816562,778.9125,0.0000,41.30
35.154624,9816644,778.9131,0.0000,41.30
35.251350,9816763,778.9058,0.0000,41.30
35.354651,9816842,778.8997,0.0000,41.30
35.450095,9816964,778.9092,0.0000,41.30
35.554790,9817043,778.9141,0.0000,41.30
35.650871,9817164,778.8893,0.0000,41.30
