t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
4.544683,9786184,-0.000036,0.065952,-1.178401,0.000307,0.000462,-0.000909
4.581597,9786214,-0.000039,0.065973,-1.178429,-0.000209,0.000861,-0.000679
4.614300,9786249,-0.000046,0.065997,-1.178436,0.000109,0.000582,-0.000465
4.652589,9786284,-0.000047,0.066027,-1.178442,-0.000810,0.000730,0.000058
4.682428,9786316,-0.000057,0.066059,-1.178439,-0.000380,0.001855,0.001342
4.716065,9786346,-0.000049,0.066077,-1.178449,0.000458,0.000409,0.000155
4.753478,9786384,-0.000048,0.066101,-1.178454,0.000071,0.000789,0.000256
4.782459,9786415,-0.000051,0.066116,-1.178464,-0.000496,0.001035,0.000249
4.813942,9786451,-0.000048,0.066099,-1.178445,0.000633,0.000545,0.000437
4.852773,9786480,-0.000059,0.066073,-1.178442,-0.001017,0.001007,-0.000387
4.881978,9786517,-0.000065,0.066055,-1.178447,-0.000976,0.001524,-0.001126
4.914160,9786548,-0.000060,0.066023,-1.178429,0.001090,0.000216,-0.000170
4.952048,9786582,-0.000045,0.066004,-1.178424,0.000672,0.000780,0.000544
4.982231,9786614,-0.000037,0.065986,-1.178400,-0.000155,0.000965,0.000509
5.014049,9786647,-0.000036,0.065970,-1.178384,0.000720,0.000752,-0.000343
5.051882,9786677,-0.000034,0.065947,-1.178387,-0.000198,0.001197,0.000217
5.082295,9786715,-0.000051,0.065938,-1.178394,-0.000459,0.001591,0.000294
5.113865,9786747,-0.000059,0.065949,-1.178397,-0.000229,0.002699,0.000669
5.152908,9786785,-0.000061,0.065943,-1.178394,0.000104,0.000766,0.000649
5.181664,9786817,-0.000056,0.065946,-1.178388,-0.000089,0.000894,0.000343
5.213462,9786848,-0.000046,0.065957,-1.178381,0.000446,0.001749,-0.000226
5.252154,9786878,-0.000048,0.065962,-1.178384,-0.000555,0.001332,-0.000909
5.271923,9786914,-0.000043,0.065968,-1.178386,-0.000026,0.000873,0.000988
5.318125,9786946,-0.000049,0.065961,-1.178381,0.000157,0.000953,-0.000496
5.353581,9786981,-0.000062,0.065968,-1.178392,-0.000257,0.001179,0.000158
5.383710,9787018,-0.000073,0.065977,-1.178385,-0.000900,0.000542,-0.000383
5.413180,9787050,-0.000071,0.065976,-1.178367,0.000027,0.000904,0.000373
5.452217,9787082,-0.000067,0.065973,-1.178362,-0.000032,0.000301,-0.000368
5.482575,9787114,-0.000058,0.065986,-1.178375,0.000457,0.000668,0.000593
5.513205,9787150,-0.000054,0.065993,-1.178386,0.000566,0.001215,0.000160
5.552346,9787182,-0.000045,0.066012,-1.178388,0.000191,0.000219,-0.000190
5.582123,9787215,-0.000049,0.066015,-1.178404,-0.000648,0.002032,-0.000046
5.613592,9787250,-0.000037,0.066013,-1.178396,0.000135,0.000666,-0.000055
5.652436,9787283,-0.000042,0.066015,-1.178388,0.000470,0.000634,0.000146
5.681793,9787316,-0.000040,0.066015,-1.178400,0.000317,0.001017,-0.000266
5.714228,9787350,-0.000040,0.066005,-1.178405,0.000250,-0.000575,-0.000665
5.752605,9787382,-0.000052,0.066006,-1.178425,-0.000288,0.000966,-0.000100
5.782082,9787416,-0.000037,0.066021,-1.178437,0.000078,0.000291,-0.001137
5.813082,9787449,-0.000034,0.066029,-1.178439,-0.000678,0.001955,0.000223
5.852880,9787486,-0.000032,0.066040,-1.178439,0.000702,0.000169,0.000116
5.882060,9787513,-0.000031,0.066041,-1.178438,0.000051,0.001301,-0.000121
5.913922,9787551,-0.000020,0.066045,-1.178429,-0.000342,0.000166,0.000195
5.953141,9787583,-0.000029,0.066045,-1.178426,0.000312,-0.000179,-0.001037
5.981487,9787616,-0.000036,0.066043,-1.178425,-0.001010,0.001184,0.000462
6.013833,9787650,-0.000048,0.066016,-1.178417,-0.000539,0.000141,-0.000077
6.053082,9787685,-0.000037,0.066002,-1.178423,-0.000090,0.001189,-0.000336
6.082696,9787715,-0.000035,0.065996,-1.178417,0.000681,0.000183,-0.000185
6.113477,9787749,-0.000034,0.065991,-1.178421,-0.000462,-0.000406,0.000168
6.152240,9787781,-0.000040,0.065983,-1.178428,-0.000645,0.000962,-0.000458
