t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
17.952347,18650540,780.1782,0.0000,41.30
18.053749,18650658,780.1787,0.0000,41.30
18.153533,18650738,780.1784,0.0000,41.30
18.253655,18650861,780.1823,0.0000,41.30
18.353774,18650939,780.1814,0.0000,41.30
18.452402,18651060,780.1907,0.0000,41.30
18.550224,18651141,780.1901,0.0000,41.30
18.650941,18651260,780.1904,0.0000,41.30
18.751634,18651338,780.1792,0.0000,41.30
18.852167,18651459,780.1879,0.0000,41.30
18.952809,18651540,780.1875,0.0000,41.70
19.053547,18651660,780.1862,0.0000,41.70
19.153077,18651742,780.1879,0.0000,41.70
19.252297,18651858,780.1943,0.0000,41.70
19.353270,18651939,780.1870,0.0000,41.70
19.453084,18652058,780.1899,0.0000,41.70
19.552163,18652141,780.1809,0.0000,41.70
19.653259,18652258,780.1838,0.0000,41.70
19.751825,18652340,780.1853,0.0000,41.70
19.853105,18652458,780.1921,0.0000,41.70
19.951908,18652539,780.1873,0.0000,41.70
20.053349,18652662,780.1904,0.0000,41.70
20.154472,18652739,780.1797,0.0000,41.70
20.253158,18652860,780.1848,0.0000,41.70
20.353035,18652941,780.1767,0.0000,41.70
20.454245,18653060,780.1870,0.0000,41.70
20.550463,18653139,780.1877,0.0000,41.70
20.654171,18653260,780.1892,0.0000,41.70
20.752505,18653338,780.1899,0.0000,41.70
20.852902,18653459,780.1848,0.0000,41.70
20.952818,18653540,780.1845,0.0000,41.30
21.053169,18653660,780.1868,0.0000,41.30
21.152709,18653739,780.2009,0.0000,41.30
21.252738,18653861,780.1987,0.0000,41.30
21.353349,18653938,780.1931,0.0000,41.30
21.453160,18654059,780.1977,0.0000,41.30
21.554312,18654139,780.1899,0.0000,41.30
21.652053,18654262,780.1890,0.0000,41.30
21.752539,18654341,780.1804,0.0000,41.30
21.852981,18654459,780.1887,0.0000,41.30
21.952431,18654540,780.1962,0.0000,41.30
22.054986,18654660,780.1921,0.0000,41.30
22.152991,18654738,780.1956,0.0000,41.30
22.252565,18654859,780.1882,0.0000,41.30
22.355327,18654938,780.1995,0.0000,41.30
22.453661,18655059,780.1858,0.0000,41.30
22.552488,18655138,780.2007,0.0000,41.30
22.646318,18655260,780.1873,0.0000,41.30
22.752919,18655338,780.1858,0.0000,41.30
22.851816,18655459,780.1840,0.0000,41.30
22.952893,18655538,780.1923,0.0000,41.30
23.052976,18655659,780.1926,0.0000,41.30
23.153292,18655741,780.1890,0.0000,41.30
23.253017,18655861,780.1946,0.0000,41.30
23.353431,18655939,780.1862,0.0000,41.30
23.452878,18656061,780.1862,0.0000,41.30
23.552063,18656140,780.1770,0.0000,41.30
23.652114,18656259,780.1840,0.0000,41.30
23.755823,18656339,780.1899,0.0000,41.30
