t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
31.853861,0,0,62
31.913448,0,0,560
31.951954,0,0,60
31.989606,0,0,110
32.028794,0,0,107
32.082173,0,0,265
32.114044,0,0,100
32.154556,0,0,501
32.198624,0,0,273
32.227587,0,0,11
32.267645,0,0,267
32.307840,0,0,79
32.334736,0,0,201
32.353616,0,0,247
32.417276,0,0,108
32.455246,0,0,63
32.507807,0,0,86
32.535150,0,0,8
32.569395,0,0,308
32.597995,0,0,13
32.648860,0,0,692
32.689087,0,0,80
32.728305,0,0,52
32.769285,0,0,12
32.797934,0,0,286
32.828602,0,0,14
32.875379,0,0,14
32.908658,0,0,14
32.934777,0,0,13
32.979665,0,0,14
33.014412,0,0,10
33.054356,0,0,300
33.098302,0,0,11
33.134299,0,0,14
33.182280,0,0,88
33.214733,0,0,17
33.255840,0,0,11
33.297266,0,0,18
33.345847,0,0,100
33.367918,0,0,98
33.427101,0,0,96
33.468691,0,0,63
33.509965,0,0,563
33.548921,0,0,138
33.594358,0,0,69
33.634847,0,0,110
33.675020,0,0,14
33.715815,0,0,136
33.753900,0,0,158
33.797659,0,0,83
33.834146,0,0,64
33.875404,0,0,13
33.907372,0,0,235
33.949032,0,0,494
33.988040,0,0,15
34.015163,0,0,113
34.053663,0,0,100
34.093189,0,0,58
34.127281,0,0,468
34.154550,0,0,17
34.198114,0,0,1560
34.249634,0,0,324
34.288794,0,0,61
34.314361,0,0,94
34.334801,0,0,12
34.361262,0,0,59
34.408639,0,0,1226
34.434082,0,0,106
34.467146,0,0,67
34.488761,0,0,197
34.515000,0,0,59
34.565117,0,0,279
34.598555,0,0,93
34.629504,0,0,473
34.678597,0,0,135
34.715512,0,0,318
34.754172,0,0,591
34.798581,0,0,66
34.833903,0,0,15
34.888665,0,0,16
34.914706,0,0,104
34.954980,0,0,16
34.997932,0,0,18
35.034434,0,0,307
35.080783,0,0,350
35.115224,0,0,113
35.153651,0,0,78
35.198574,0,0,62
35.233819,0,0,273
35.279690,0,0,7
35.314937,0,0,99
35.354714,0,0,105
35.370034,0,0,183
35.433526,0,0,245
35.469134,0,0,63
35.512269,0,0,88
35.549316,0,0,109
35.612044,0,0,13
35.649389,0,0,8
35.695001,0,0,109
35.728363,0,0,11
35.755355,0,0,155
35.796088,0,0,111
35.828230,0,0,14
35.855131,0,0,80
35.898492,0,0,74
35.934855,0,0,543
35.979715,0,0,95
36.020109,0,0,14
36.054257,0,0,60
36.087845,0,0,286
36.128180,0,0,104
36.174811,0,0,12
36.214451,0,0,15
36.234342,0,0,462
36.281210,0,0,80
36.315633,0,0,77
36.355031,0,0,76
